,Product Name,Rating,Product Sold,Price,Discount,Store name,Num of favourite
88,it(ready stock) women bag shoulder bag niche light luxury bag new summer pink small square bag hand-held messenger small bag women&beg bahu beg tangan wanita | shopee malaysia,4.8,203,63.42,70,itfemalebag,2300
89,"new fashion sling bag for women,french niche women's bags all-match shoulder messenger bag ins female bag. | shopee malaysia",4.9,590,23.9,55,ywjialan.my,587
90,unisa colour block faux leather top handle bag set - brown/grey/maroon/pink | shopee malaysia,4.9,1800,48.0,39,bagstation,2100
91,starbucks canvas bag large capacity handbag beach bag | shopee malaysia,4.8,325,12.97,41,nevertolate.my,985
92,david jones paris crossbody bag for women leather crossbody bag | shopee malaysia,4.9,1700,55.9,72,davidjones.os,2000
93,gs women elegant fashion large capacity canvas sling bag tote bag shoulder bag handbag tuition bag crossbody bag - 9411 | shopee malaysia,4.9,10200,11.5,54,gardenstore,13800
94,kegee mini sling bag women korean fashion shoulder bag handbag crossbody bag | shopee malaysia,4.9,106,16.9,50,kegee.my,474
95,delahandbag women sling bag ready stock tangan wanita perempuan love bag cute sling bag | shopee malaysia,5.0,289,33.4,40,delabag.my,7300
96,polo women sling bag - grey phub10510 (beg tangan wanita) | shopee malaysia,4.9,1400,48.0,46,polohandbag.os,1100
97,maspopular chain women's shoulderbag handbag high quality fabric classic sling bag fashion ready stock | shopee malaysia,4.9,1200,33.77,50,mas797611.my,3200
98,n48 ready stock myfooyin woman handbag shoulder tote sling bag | shopee malaysia,4.9,31500,4.9,35,fooyin88,16900
99,paris & classic fashion women sling bag *2004 | shopee malaysia,4.9,179,49.9,28,milangallery,1100
100,n35 ready stock myfooyi woman shoulder bag leather sling tote bag | shopee malaysia,4.9,4400,9.8,38,fooyin88,6400
101,dela summer woven bag women 2022 new vintage bag square bag fashion messenger bag sling bag | shopee malaysia,4.9,455,28.24,57,delabag.my,7800
102,playboy bunny ladies sling bag bny 802-3 grey | shopee malaysia,4.9,680,39.9,69,playboybunny.os,1400
103,tracey korean style sling bag | shopee malaysia,5.0,441,99.0,50,tracey.os,1500
104,david jones paris women shoulder bag pu leather female crossbody bag small  lady handbag | shopee malaysia,5.0,2100,74.9,15,davidjones.os,5600
